"id","age","sex","marital","pd1","pd2","pd3","pd4","pd5","pd6","pd7","pd8","pd9","pd10","pd11","pd12","pd13","pd14","pd15","pd16","pd17","pd18","pd19","pd20","life.dis","daily.dis"
18752,57,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18756,67,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18759,56,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,4,0,16
18762,74,2,3,0,0,3,0,0,0,0,0,0,0,0,3,3,3,2,3,4,2,4,4,1,17
18769,67,2,3,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,4,4,3,4,1,10
18770,75,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,3,4,4,0,10
18771,79,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18773,72,2,3,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
18775,70,1,3,2,0,0,0,0,0,0,0,0,0,0,2,2,4,3,3,3,2,3,3,1,20
18776,50,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,3,4,4,0,11
18778,65,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18779,75,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18782,58,2,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,3,3,4,4,0,15
18791,59,2,1,0,0,2,1,0,0,0,0,0,0,1,3,2,3,3,3,3,2,4,4,3,18
18792,55,2,1,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
18793,65,1,1,0,0,0,1,0,0,0,0,1,0,0,3,3,3,3,3,4,4,2,2,2,18
18794,86,1,3,0,0,0,1,0,0,0,0,0,0,0,3,3,4,4,4,4,3,3,4,1,13
18797,83,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,3,3,4,4,0,14
18805,72,2,1,0,1,1,NA,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,2,9
18806,46,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,4,4,4,0,10
18808,62,2,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,4,0,16
18811,55,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18815,45,2,1,0,0,2,3,1,0,0,0,1,0,3,2,2,3,3,4,4,2,4,4,5,17
18819,56,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,2,4,3,3,4,0,17
18820,70,2,3,0,0,2,1,0,0,0,0,1,0,1,3,3,3,3,3,4,3,3,3,4,17
18823,45,2,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,3,4,4,0,10
18826,82,1,1,0,0,1,1,0,0,0,0,0,0,0,4,3,4,3,3,4,3,3,4,2,14
18829,59,2,1,1,0,2,2,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,3,9
18838,55,1,1,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,4,4,3,3,1,16
18841,77,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18842,79,2,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18847,78,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18850,67,2,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18854,73,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18856,58,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18857,83,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
